code,name,lat,lon,urban_continuous_500m,urban_discontin_500m,industrial_500m,roads_500m,ports_airports_500m,green_urban_500m,agriculture_500m,forest_500m,water_500m,urban_continuous_1km,urban_discontin_1km,industrial_1km,roads_1km,ports_airports_1km,green_urban_1km,agriculture_1km,forest_1km,water_1km,elevation_m,terrain_rough_m,pop_1km,pop_5km
102,Bredkälen,63.845497,15.319731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.74,0.0,384.4,11.6,0,52
11636,Göteborg Haga,57.697857,11.960547,0.0,88.89,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,78.23,1.26,0.0,0.0,20.5,0.0,0.0,0.0,34.9,18.9,34295,310601
13532,Umeå Västra Esplanaden,63.828857,20.258492,0.0,34.57,0.0,0.0,0.0,0.0,65.43,0.0,0.0,0.0,35.02,5.99,0.0,0.0,0.32,58.68,0.0,0.0,13.2,2.9,5090,56104
144,Timrå,62.48678,17.324438,0.0,1.23,0.0,0.0,0.0,0.0,81.48,17.28,0.0,0.0,11.36,0.0,1.26,0.0,5.68,35.65,46.06,0.0,40.9,26.7,1263,13496
155530,Västerås Melkertorget,59.60987,16.550459,0.0,97.53,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.32,74.76,15.14,0.0,0.0,2.84,0.0,0.0,6.94,20.3,11.9,11745,109351
156417,Uppsala Kungsgatan,59.85723,17.646107,0.0,83.95,3.7,0.0,0.0,0.0,0.0,12.35,0.0,0.0,73.82,8.52,0.0,0.0,0.0,4.1,13.56,0.0,30.4,8.9,24938,142264
157992,Stockholm St Eriksgatan,59.34056,18.037039,0.0,79.01,20.99,0.0,0.0,0.0,0.0,0.0,0.0,3.47,43.85,21.14,0.63,0.0,4.1,0.0,0.0,26.81,18.3,12.7,37694,501780
159404,Uppsala Dragarbrunnsgatan,59.86052,17.637596,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.66,4.73,0.0,0.0,0.0,16.4,2.21,0.0,27.3,6.3,24938,142264
164905,Solna Råsundavägen,59.365116,17.996862,34.57,1.23,53.09,0.0,1.23,0.0,0.0,0.0,9.88,19.87,15.77,48.26,0.0,10.73,0.0,0.0,0.0,5.36,17.8,8.5,15034,340924
181002,Växjö Liedbergsgatan,56.879883,14.799273,0.0,4.94,49.38,0.0,0.0,2.47,19.75,23.46,0.0,0.0,21.77,29.02,0.0,0.0,8.2,18.3,22.71,0.0,169.9,4.3,5772,63512
181259,Östersund Rådhusgatan,63.17391,14.641086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,292.0,0.0,164,38972
181993,Kalmar Södra Vägen,56.664192,16.33362,0.0,0.0,0.0,0.0,0.0,0.0,61.73,19.75,18.52,0.0,13.25,2.21,0.0,0.0,0.0,40.38,15.14,29.02,2.8,3.2,1375,36912
18643,Norr Malma,59.832382,18.631313,0.0,0.0,0.0,0.0,0.0,0.0,77.78,20.99,1.23,0.0,0.0,0.0,0.0,0.0,0.63,59.62,21.77,17.98,26.1,6.3,61,1771
