buffer_km,pollutant,model,n_folds,mean_n_train_stns,min_n_train_stns,mean_RMSE,mean_MAE,mean_R2
0.0,NO2,RF,11,33.0,33,8.106,6.676,-12.954
0.0,NO2,LUR,11,33.0,33,18.373,17.347,-938.913
0.0,NO2,IDW,11,33.0,33,11.996,10.384,-498.167
0.0,PM25,RF,11,33.0,33,3.12,2.296,0.06
0.0,PM25,LUR,11,33.0,33,6.333,5.415,-2.37
0.0,PM25,IDW,11,33.0,33,2.244,1.51,0.234
5.0,NO2,RF,11,31.4,26,7.267,5.958,-11.904
5.0,NO2,LUR,11,31.4,26,15.326,14.354,-934.888
5.0,NO2,IDW,11,31.4,26,8.903,7.395,-495.229
5.0,PM25,RF,11,31.4,26,3.558,2.636,-0.138
5.0,PM25,LUR,11,31.4,26,5.87,4.906,-1.807
5.0,PM25,IDW,11,31.4,26,2.327,1.542,0.209
10.0,NO2,RF,11,30.5,26,7.499,6.209,-12.211
10.0,NO2,LUR,11,30.5,26,21.162,20.243,-950.69
10.0,NO2,IDW,11,30.5,26,8.966,7.427,-495.41
10.0,PM25,RF,11,30.5,26,3.612,2.704,-0.161
10.0,PM25,LUR,11,30.5,26,5.873,4.897,-1.864
10.0,PM25,IDW,11,30.5,26,2.365,1.571,0.201
25.0,NO2,RF,11,29.3,24,7.717,6.302,-12.185
25.0,NO2,LUR,11,29.3,24,44.673,44.006,-1001.243
25.0,NO2,IDW,11,29.3,24,9.38,7.828,-495.267
25.0,PM25,RF,11,29.3,24,3.699,2.753,-0.205
25.0,PM25,LUR,11,29.3,24,9.697,8.879,-9.968
25.0,PM25,IDW,11,29.3,24,2.432,1.607,0.185
50.0,NO2,RF,11,28.8,22,7.717,6.218,-11.826
50.0,NO2,LUR,11,28.8,22,37.96,37.244,-990.095
50.0,NO2,IDW,11,28.8,22,9.659,8.122,-495.281
50.0,PM25,RF,11,28.8,22,3.734,2.794,-0.225
50.0,PM25,LUR,11,28.8,22,8.708,7.833,-7.997
50.0,PM25,IDW,11,28.8,22,2.455,1.629,0.179
