lat,lon,x3035,y3035,urban,dist_to_existing_km,dist_final_km,pm25_covered_before,pm25_covered_after,no2_covered_before,no2_covered_after
55.4209,12.684,4491000,3593839,0,28.8,28.8,1,1,0,0
55.4174,12.8418,4501000,3593839,0,23.33,23.33,1,1,0,0
55.4138,12.9995,4511000,3593839,0,21.44,21.44,1,1,0,0
55.4099,13.1571,4521000,3593839,0,23.97,23.97,1,1,0,0
55.4059,13.3148,4531000,3593839,0,29.83,29.83,1,1,0,0
55.4017,13.4724,4541000,3593839,0,37.48,37.48,1,1,0,0
55.3972,13.63,4551000,3593839,0,46.04,46.04,1,1,0,0
55.3926,13.7875,4561000,3593839,0,55.09,55.09,1,1,0,0
55.3878,13.9451,4571000,3593839,0,64.42,64.42,0,0,0,0
55.3828,14.1025,4581000,3593839,0,73.93,73.93,0,0,0,0
55.5107,12.6901,4491000,3603839,0,22.38,22.38,1,1,0,0
55.5072,12.8481,4501000,3603839,0,14.69,14.69,1,1,0,0
55.5036,13.0062,4511000,3603839,0,11.45,11.45,1,1,0,0
55.4997,13.1642,4521000,3603839,0,15.69,15.69,1,1,0,0
55.4957,13.3222,4531000,3603839,0,23.69,23.69,1,1,0,0
55.4914,13.4802,4541000,3603839,0,32.81,32.81,1,1,0,0
55.487,13.6382,4551000,3603839,0,42.33,42.33,1,1,0,0
55.4823,13.7961,4561000,3603839,0,52.03,52.03,1,1,0,0
55.4775,13.9539,4571000,3603839,0,61.82,61.82,1,1,0,0
55.4725,14.1118,4581000,3603839,0,71.67,71.67,0,0,0,0
55.4673,14.2696,4591000,3603839,0,81.56,81.56,0,0,0,0
55.6005,12.6961,4491000,3613839,0,19.3,19.3,1,1,0,0
55.597,12.8546,4501000,3613839,0,9.35,9.35,1,1,0,0
55.5933,13.013,4511000,3613839,1,1.61,1.61,1,1,1,1
55.5895,13.1714,4521000,3613839,0,10.85,10.85,1,1,0,0
55.5854,13.3297,4531000,3613839,0,20.81,20.81,1,1,0,0
55.5812,13.4881,4541000,3613839,0,30.79,30.79,1,1,0,0
55.5767,13.6464,4551000,3613839,0,40.78,40.78,1,1,0,0
55.5721,13.8046,4561000,3613839,0,50.78,50.78,1,1,0,0
55.5672,13.9628,4571000,3613839,0,60.77,60.77,1,1,0,0
55.5622,14.121,4581000,3613839,0,70.77,70.77,0,0,0,0
55.5569,14.2792,4591000,3613839,0,80.77,80.77,0,0,0,0
55.5515,14.4373,4601000,3613839,0,90.77,90.77,0,0,0,0
55.6935,12.5434,4481000,3623839,1,30.47,30.47,1,1,0,0
55.6903,12.7022,4491000,3623839,0,21.07,21.07,1,1,0,0
55.6868,12.861,4501000,3623839,0,12.61,12.61,1,1,0,0
55.6831,13.0198,4511000,3623839,0,8.61,8.61,1,1,0,0
55.6792,13.1786,4521000,3623839,0,13.76,13.76,1,1,0,0
55.6752,13.3373,4531000,3623839,0,22.46,22.46,1,1,0,0
55.6709,13.496,4541000,3623839,0,31.93,31.93,1,1,0,0
55.6665,13.6546,4551000,3623839,0,41.65,41.65,1,1,0,0
55.6618,13.8132,4561000,3623839,0,51.48,51.48,1,1,0,0
55.6569,13.9718,4571000,3623839,0,61.36,61.36,1,1,0,0
55.6519,14.1304,4581000,3623839,0,71.28,71.28,0,0,0,0
55.6466,14.2889,4591000,3623839,0,81.21,81.21,0,0,0,0
55.6412,14.4473,4601000,3623839,0,91.16,91.16,0,0,0,0
55.6355,14.6058,4611000,3623839,0,101.12,101.12,0,0,0,0
55.7833,12.5492,4481000,3633839,0,34.65,34.65,1,1,0,0
55.7801,12.7084,4491000,3633839,0,26.75,26.75,1,1,0,0
55.7766,12.8675,4501000,3633839,0,20.75,20.75,1,1,0,0
55.7729,13.0267,4511000,3633839,0,18.59,18.59,1,1,0,0
55.769,13.1858,4521000,3633839,0,21.47,21.47,1,1,0,0
55.7649,13.3449,4531000,3633839,0,27.86,27.86,1,1,0,0
55.7607,13.5039,4541000,3633839,0,35.93,35.93,1,1,0,0
55.7562,13.6629,4551000,3633839,0,44.79,44.79,1,1,0,0
55.7515,13.8219,4561000,3633839,0,54.05,54.05,1,1,0,0
55.7466,13.9808,4571000,3633839,0,63.53,63.53,1,1,0,0
55.7416,14.1397,4581000,3633839,0,73.16,73.16,0,0,0,0
55.7363,14.2986,4591000,3633839,0,82.87,82.87,0,0,0,0
55.7309,14.4574,4601000,3633839,0,92.64,92.2,0,0,0,0
55.7252,14.6162,4611000,3633839,0,102.46,94.87,0,0,0,0
