station_code,station_name,station_type,pollutant,nn_dist_km,n_train_stns,n_test_days,RF_RMSE,RF_MAE,RF_R2,LUR_RMSE,LUR_MAE,LUR_R2,IDW_RMSE,IDW_MAE,IDW_R2,period
102,Bredkälen,Rural Background,NO2,81.9,33,1044,2.77,2.537,-135.554,28.144,27.848,-14092.77,17.056,15.169,-5174.889,2022-2024
156417,Uppsala Kungsgatan 67,Urban Traffic,NO2,48.7,32,1067,9.249,7.052,0.084,13.508,11.698,-0.954,9.238,6.966,0.086,2022-2024
157992,Stockholm St Eriksgatan 83,Urban Traffic,NO2,13.0,26,1008,6.204,5.05,-0.008,15.383,14.616,-5.197,5.822,4.172,0.112,2022-2024
159404,Uppsala Dragarbrunnsgatan 23 tak,Urban Background,NO2,49.2,32,1071,12.163,11.45,-8.047,21.146,20.888,-26.347,9.02,8.188,-3.976,2022-2024
181993,Kalmar Södra Vägen,Urban Traffic,NO2,96.5,33,1085,5.043,3.526,-0.009,4.348,3.367,0.25,4.722,3.736,0.115,2022-2024
18643,Norr Malma,Rural-Regional Background,NO2,55.1,33,1087,1.61,1.21,-0.263,16.242,15.924,-127.432,13.603,12.501,-89.096,2022-2024
20415,Sollentuna E4 Häggvik,Urban Traffic,NO2,8.6,33,1094,6.981,5.309,0.424,7.896,6.17,0.263,6.333,4.694,0.526,2022-2024
32423,Sundsvall Köpmangatan,Urban Traffic,NO2,10.9,33,1096,8.071,5.971,-0.015,8.177,6.836,-0.042,7.181,5.083,0.197,2022-2024
8773,Malmö Rådhuset,Urban Background,NO2,15.5,32,1088,3.538,2.505,0.091,16.793,16.527,-19.479,4.132,3.004,-0.24,2022-2024
8780,Stockholm Hornsgatan 108 Gata,Urban Traffic,NO2,6.1,29,1079,9.223,7.481,-0.243,7.609,5.863,0.154,9.506,8.075,-0.321,2022-2024
8781,Stockholm Torkel Knutssongatan,Urban Background,NO2,6.5,29,1096,8.554,7.594,-2.966,35.806,35.648,-68.493,7.73,6.66,-2.239,2022-2024
102,Bredkälen,Rural Background,PM25,81.9,33,1058,4.406,3.535,-1.865,106.803,106.772,-1682.191,5.368,3.492,-3.251,2022-2024
156417,Uppsala Kungsgatan 67,Urban Traffic,PM25,48.7,32,1090,2.812,2.239,0.003,4.371,3.944,-1.408,1.352,0.901,0.77,2022-2024
157992,Stockholm St Eriksgatan 83,Urban Traffic,PM25,13.0,26,1012,2.646,1.917,0.327,9.78,9.264,-8.192,1.39,0.92,0.814,2022-2024
159404,Uppsala Dragarbrunnsgatan 23 tak,Urban Background,PM25,49.2,32,1086,3.175,2.682,-0.519,4.135,3.803,-1.577,2.021,1.464,0.385,2022-2024
181993,Kalmar Södra Vägen,Urban Traffic,PM25,96.5,33,1084,4.682,3.125,0.172,5.349,3.204,-0.08,2.891,1.723,0.685,2022-2024
18643,Norr Malma,Rural-Regional Background,PM25,55.1,33,1093,2.726,2.192,-0.043,3.752,3.381,-0.975,2.035,1.52,0.419,2022-2024
20415,Sollentuna E4 Häggvik,Urban Traffic,PM25,8.6,33,1087,2.689,1.998,0.313,5.793,5.32,-2.188,0.928,0.627,0.918,2022-2024
32423,Sundsvall Köpmangatan,Urban Traffic,PM25,10.9,33,1096,3.792,2.28,0.178,4.011,2.568,0.081,2.843,1.704,0.538,2022-2024
8773,Malmö Rådhuset,Urban Background,PM25,15.5,32,1088,4.838,3.229,0.125,8.054,7.273,-1.425,3.558,2.254,0.527,2022-2024
8780,Stockholm Hornsgatan 108 Gata,Urban Traffic,PM25,6.1,29,1096,2.212,1.496,0.595,5.448,4.357,-1.458,1.342,1.035,0.851,2022-2024
8781,Stockholm Torkel Knutssongatan,Urban Background,PM25,6.5,29,1096,2.035,1.557,0.555,21.338,21.144,-47.988,1.074,0.661,0.876,2022-2024
102,Bredkälen,Rural Background,NO2,81.9,33,1759,2.618,2.416,-118.209,24.003,23.637,-10017.947,17.497,15.526,-5323.171,2020-2024
156417,Uppsala Kungsgatan 67,Urban Traffic,NO2,48.7,32,1786,11.136,8.506,-0.031,12.667,10.774,-0.334,11.754,9.112,-0.149,2020-2024
157992,Stockholm St Eriksgatan 83,Urban Traffic,NO2,13.0,26,1739,7.51,6.246,-0.067,5.755,4.363,0.373,5.247,3.714,0.479,2020-2024
159404,Uppsala Dragarbrunnsgatan 23 tak,Urban Background,NO2,49.2,32,1798,13.214,12.424,-9.503,20.29,20.019,-23.763,9.477,8.552,-4.402,2020-2024
181993,Kalmar Södra Vägen,Urban Traffic,NO2,96.5,33,1790,6.167,4.419,-0.179,5.03,4.001,0.216,4.741,3.72,0.303,2020-2024
18643,Norr Malma,Rural-Regional Background,NO2,55.1,33,1818,1.928,1.601,-1.081,16.499,16.144,-151.388,14.677,13.445,-119.589,2020-2024
20415,Sollentuna E4 Häggvik,Urban Traffic,NO2,8.6,33,1817,6.811,5.136,0.498,8.69,6.98,0.183,6.211,4.437,0.583,2020-2024
32423,Sundsvall Köpmangatan,Urban Traffic,NO2,10.9,33,1827,8.275,6.228,-0.1,7.898,6.414,-0.002,6.769,4.847,0.264,2020-2024
8773,Malmö Rådhuset,Urban Background,NO2,15.5,32,1819,4.536,3.459,-0.232,29.48,29.294,-51.037,4.169,3.094,-0.041,2020-2024
8780,Stockholm Hornsgatan 108 Gata,Urban Traffic,NO2,6.1,29,1807,9.895,8.051,-0.287,7.898,6.091,0.18,9.9,8.454,-0.288,2020-2024
8781,Stockholm Torkel Knutssongatan,Urban Background,NO2,6.5,29,1826,7.844,7.046,-1.75,30.379,30.172,-40.247,7.49,6.442,-1.507,2020-2024
102,Bredkälen,Rural Background,PM25,81.9,33,1774,4.369,3.754,-2.664,2.635,1.524,-0.333,5.487,3.584,-4.778,2020-2024
156417,Uppsala Kungsgatan 67,Urban Traffic,PM25,48.7,32,1815,2.995,2.359,0.019,6.549,6.176,-3.691,1.257,0.847,0.827,2020-2024
157992,Stockholm St Eriksgatan 83,Urban Traffic,PM25,13.0,26,1743,3.023,2.191,0.249,3.411,2.431,0.045,1.418,0.992,0.835,2020-2024
159404,Uppsala Dragarbrunnsgatan 23 tak,Urban Background,PM25,49.2,32,1799,3.424,2.925,-0.396,5.839,5.514,-3.061,1.821,1.303,0.605,2020-2024
181993,Kalmar Södra Vägen,Urban Traffic,PM25,96.5,33,1779,4.975,3.382,0.233,6.357,3.722,-0.252,3.383,1.94,0.645,2020-2024
18643,Norr Malma,Rural-Regional Background,PM25,55.1,33,1818,3.451,2.911,-0.345,4.755,4.387,-1.553,1.944,1.479,0.573,2020-2024
20415,Sollentuna E4 Häggvik,Urban Traffic,PM25,8.6,33,1817,3.231,2.24,0.131,7.286,6.856,-3.417,0.993,0.696,0.918,2020-2024
32423,Sundsvall Köpmangatan,Urban Traffic,PM25,10.9,33,1821,3.616,2.236,0.163,5.95,4.621,-1.267,2.872,1.805,0.472,2020-2024
8773,Malmö Rådhuset,Urban Background,PM25,15.5,32,1793,4.88,3.278,0.156,13.971,12.95,-5.921,4.017,2.649,0.428,2020-2024
8780,Stockholm Hornsgatan 108 Gata,Urban Traffic,PM25,6.1,29,1827,2.623,1.745,0.501,4.325,3.689,-0.356,1.278,0.959,0.882,2020-2024
8781,Stockholm Torkel Knutssongatan,Urban Background,PM25,6.5,29,1823,2.548,1.974,0.431,3.495,2.099,-0.071,1.131,0.714,0.888,2020-2024
