pollutant,model,form,a,b,AIC,BIC,n
NO2,RF,log,9.634,-0.7594,60.678,61.474,11
NO2,RF,power,12.2956,-0.2117,61.703,62.498,11
NO2,RF,exponential,8.1415,-0.006953,61.327,62.123,11
NO2,LUR,log,14.8002,0.1687,83.506,84.302,11
NO2,LUR,power,11.2371,0.0402,84.395,85.19,11
NO2,LUR,exponential,12.9058,-0.000371,84.381,85.177,11
NO2,IDW,log,2.8522,1.9409,63.381,64.177,11
NO2,IDW,power,4.7331,0.1705,64.016,64.812,11
NO2,IDW,exponential,6.7401,0.004997,64.65,65.446,11
PM25,RF,log,2.1256,0.4594,25.963,26.759,11
PM25,RF,power,2.3106,0.1307,26.045,26.841,11
PM25,RF,exponential,2.9855,0.004243,25.326,26.122,11
PM25,LUR,log,6.4671,-0.1914,58.783,59.579,11
PM25,LUR,power,5.6615,-0.0204,59.187,59.983,11
PM25,LUR,exponential,5.7251,-0.002099,58.943,59.739,11
PM25,IDW,log,0.1418,0.7011,39.034,39.83,11
PM25,IDW,power,0.7892,0.2967,39.442,40.238,11
PM25,IDW,exponential,1.3994,0.009881,38.553,39.349,11
