rank,lat,lon,x3035,y3035,cumulative_pm25_pct
1,56.5489,14.2264,4581000,3723839,13.73
2,57.3068,12.8181,4491000,3803839,16.54
3,57.5954,15.1827,4631000,3843839,19.35
4,58.3638,13.7544,4541000,3923839,22.17
5,58.7395,15.8682,4661000,3973839,24.98
6,59.2904,12.627,4471000,4023839,27.79
7,59.6832,14.7857,4591000,4073839,30.6
8,60.4518,13.0811,4491000,4153839,33.41
9,60.6288,16.0192,4651000,4183839,36.22
10,61.4125,14.2946,4551000,4263839,39.04
11,62.5165,13.4808,4501000,4383839,41.85
12,63.5323,17.8173,4711000,4513839,44.66
13,64.4498,19.3225,4771000,4623839,47.47
14,64.853,16.7144,4641000,4653839,50.28
15,65.5807,18.6308,4721000,4743839,53.1
16,65.9752,21.1925,4831000,4803839,55.91
17,66.389,16.8902,4631000,4823839,58.72
18,66.8099,19.5072,4741000,4883839,61.53
19,67.2941,22.0284,4841000,4953839,64.34
20,68.0223,19.0342,4701000,5013839,67.15
